ts,position_id,asset,direction,p_win,expected_pct,realized_pct,shortfall_pct,cause,cost_overrun_bps,mfe_pct,mae_pct,recovered_after_stop,regime_entry,regime_exit
1783965551,fc5f7f61-bb0a-4d50-bf68-9d9ea6a85c5d,BTC,long,0.620,0.259,-2.200,2.459,cost_overrun,36.1,0.000,-1.784,0,range,range
1783966792,953bfb61-ac95-4d48-9133-eb74d29e395d,ETH,long,0.620,0.249,-2.160,2.409,cost_overrun,35.1,0.021,-1.689,0,range,range
1783974640,642f68af-a95b-4613-a621-8d625b696fb5,BTC,long,0.620,0.264,-1.025,1.289,cost_overrun,37.1,0.000,-1.274,0,range,range
1783974640,bc0ba7a4-db1b-4d26-a767-678d07ac82a5,BTC,short,0.620,0.254,-0.914,1.168,cost_overrun,44.0,0.136,-0.651,0,range,range
1783974640,ed29089f-b7da-4a40-86ee-71458dada534,ETH,short,0.620,0.244,-1.390,1.634,cost_overrun,53.4,0.069,-1.367,0,range,range
1783974640,caa1d123-3968-4ea2-9345-6b3dc36b0dc1,ETH,short,0.620,0.243,-0.864,1.107,cost_overrun,35.4,0.035,-0.842,0,range,range
1783974640,e4514924-39c1-40f6-9fe2-a8be2b0a2ae8,BTC,short,0.620,0.252,-0.672,0.924,cost_overrun,53.0,0.099,-0.404,0,range,range
1784066591,0f82248d-10de-4687-94d9-1bafd0c474b4,ETH,short,0.620,0.243,-6.909,7.152,cost_overrun,54.1,0.464,-0.510,0,range,range
1784256022,07563923-f82a-4aa3-81eb-091f016bb23b,ETH,long,0.640,-0.086,-2.190,2.104,alpha_wrong,-5.7,0.207,-1.705,0,range,range
1784275746,449aa1a7-d820-4f34-ae80-3e1e96a4060b,ETH,long,0.640,-0.085,-2.730,2.645,alpha_wrong,-4.6,0.000,-2.300,0,range,range
1784275746,a27a1da9-430b-425f-9a63-31629142cfd3,BTC,long,0.640,-0.073,-2.496,2.423,alpha_wrong,-3.3,0.000,-2.105,0,range,range
1784275746,132f2e5b-8ece-4620-b5f7-cdc6dd2b701a,BTC,long,0.640,-0.073,-2.532,2.460,alpha_wrong,-4.8,0.000,-2.141,0,range,range
1784293613,c1c38819-375c-4cca-90a5-d3c7590bf601,ETH,long,0.640,-0.080,-2.307,2.227,alpha_wrong,9.7,0.260,-1.678,0,range,range
1784293613,c1c38819-375c-4cca-90a5-d3c7590bf601,ETH,long,0.640,-0.080,-2.307,2.227,alpha_wrong,9.7,0.260,-1.678,0,range,range
1784295470,e544cc2a-cc60-4b7a-a918-e9069fe9c18e,ETH,long,0.640,-0.077,-2.214,2.136,alpha_wrong,-5.1,0.297,-0.637,0,range,range
1784308180,f6e9e1cb-2580-4974-98f9-0c1ed4e6c870,ETH,short,0.640,-0.081,-2.469,2.388,alpha_wrong,18.7,0.449,-1.969,0,range,range
1784308190,78db91f8-d3a2-4564-b8ea-7f2e41e4d47c,BTC,short,0.640,-0.184,-2.250,2.066,alpha_wrong,-14.3,0.406,-1.798,0,range,range
