position_id,asset,side,ret_1_dir,ret_6_dir,ret_12_dir,ret_48_dir,sigma_bar_pct,vol_percentile,imbalance_dir,spread_bps,depth_log,fv_edge_bps,basis_dir,volume_z,funding_dir,mom_dir,drawdown_pct,regime_bull_quiet,regime_bull_vol,regime_range,regime_bear,regime_crisis,corr_fast,corr_shift,turbulence_pct,sent_dir,sent_fear,fear_greed,dominance_delta,equity_risk_z,hour_sin,hour_cos,weekend,imbalance_delta_dir,other_ret_6_dir,depth_ratio,mtf_align,pd_zone,liq_pocket_pull,fvg_pull,fvg_liq_confluence,poc_dist,va_pos,regime_age,funding_dist,venue_disloc_dir,th_grid,th_metronome,th_clockwork,th_stopzone,th_barclose,opt_pcr_z,opt_oi_pcr_z,opt_iv_skew,manip_suspect,pat_engulf_dir,pat_hammer_dir,pat_marubozu_dir,vol_term,mkt_ret_6_dir,book_touch_share,flow_tox,direction,gate_confidence,label,net_pnl_usd,source,ts,signal_ts,barrier,probe,disp
cand-e6ad34bc-4238,BTC,long,-0.796718,-1.018620,0.420876,-0.195860,0.051185,0.080000,1.058255,0.001551,0.871085,0.000000,0.001901,-0.790091,0.047598,-0.333333,0.285203,0.000000,0.000000,1.000000,0.000000,0.000000,0.906575,0.063204,0.176000,0.030852,0.000000,0.280000,0.000381,0.000000,-0.803857,-0.594823,1.000000,0.673014,-0.279499,1.204863,1.000000,0.612276,0.920647,0.000000,0.000000,0.031260,0.000000,1.000000,0.052394,0.002017,0.112000,0.000000,0.000000,0.633000,0.010000,0.000000,0.000000,-1.000000,0.717005,0.000000,-0.018088,-0.610209,0.000000,0.000000,0.200000,0.000000,1.000000,0.748777,0,0.00,candidate,1784503966,1784474700,time,,
cand-e6ad34bc-4245,BTC,long,0.587538,0.558979,-0.105871,0.475150,0.051950,0.080000,0.947549,0.001550,0.835938,0.000000,0.068735,-0.702070,0.042377,-0.333333,0.285203,0.000000,0.000000,1.000000,0.000000,0.000000,0.630926,-0.192318,0.176000,0.030895,0.000000,0.280000,-0.001964,0.000000,-0.859406,-0.511293,1.000000,-0.209418,-0.013361,0.601961,1.000000,0.794645,0.958018,0.000000,0.000000,0.053595,0.000000,1.000000,0.005314,-0.251907,0.028000,0.000000,0.000000,0.880000,0.000000,0.000000,0.000000,-1.000000,0.198369,1.000000,0.142465,0.370093,0.000000,0.000000,0.200000,0.000000,1.000000,0.748893,0,0.00,candidate,1784505310,1784476200,time,,
cand-933b8695-4383,BTC,long,-0.066054,0.858507,-0.107467,0.460191,0.051597,0.080000,1.187547,0.001550,0.902698,0.000000,0.021209,-0.875765,0.041461,-0.333333,0.285203,0.000000,0.000000,1.000000,0.000000,0.000000,0.545604,-0.275674,0.176000,0.030895,0.000000,0.280000,-0.001964,0.000000,-0.872496,-0.488621,1.000000,0.185600,0.086124,1.543835,1.000000,0.789088,0.956881,0.000000,0.000000,0.054257,0.000000,1.000000,0.992439,-0.508811,0.060000,0.000000,0.000000,0.999000,0.000000,0.000000,0.000000,-1.000000,0.194510,0.000000,0.841995,-0.082397,0.000000,0.000000,0.200000,0.000000,1.000000,0.748919,0,0.00,candidate,1784505755,1784476500,time,,
cand-933b8695-4384,BTC,long,0.752586,1.299284,0.298314,0.727141,0.051864,0.080000,0.237021,0.001551,0.871127,0.000000,0.103387,-0.423058,0.040297,-0.333333,0.285203,0.000000,0.000000,1.000000,0.000000,0.000000,0.837048,0.013084,0.176000,0.030895,0.000000,0.280000,0.011671,0.000000,-0.884988,-0.465615,1.000000,0.144600,0.078038,0.958374,1.000000,0.852741,0.969906,0.000000,0.000000,0.063635,0.000000,1.000000,0.980366,-0.088224,0.016000,0.000000,0.000000,0.887000,0.000000,0.000000,0.000000,-1.000000,0.123481,1.000000,0.528065,0.273319,0.000000,0.000000,0.200000,0.000000,1.000000,0.748992,0,0.00,candidate,1784505910,1784476800,time,,
cand-2b55074f-4084,ETH,long,1.931336,1.405241,0.931587,0.278765,0.082039,0.103333,0.494987,0.005329,0.734657,-0.321723,-0.706946,0.847942,0.062137,-0.333333,0.377245,0.000000,0.000000,1.000000,0.000000,0.000000,0.958575,0.117247,0.052000,0.035280,0.000000,0.280000,-0.011547,0.000000,-0.675590,-0.737277,1.000000,-0.561742,0.178063,0.457553,1.000000,0.847678,0.960376,0.000000,0.000000,0.014819,0.003625,1.000000,0.144463,-0.356944,0.016000,0.000000,0.000000,0.524000,0.000000,0.000000,0.000000,-1.000000,0.031403,0.000000,-0.023259,0.730864,0.000000,0.000000,0.200000,0.000000,1.000000,0.874570,0,0.00,candidate,1784501425,1784472300,,,
cand-2b55074f-4085,BTC,long,2.901882,1.467071,1.265142,-0.121751,0.049550,0.073333,0.444420,0.113020,0.881448,-0.176867,-0.459382,0.316400,0.063345,-0.333333,0.285673,0.000000,0.000000,1.000000,0.000000,0.000000,0.958575,0.117247,0.052000,0.035280,0.000000,0.280000,-0.011547,0.000000,-0.675590,-0.737277,1.000000,-0.599730,0.282389,1.238549,1.000000,0.891165,0.978065,0.000000,0.000000,0.063910,0.000000,1.000000,0.144463,-0.241697,0.037000,0.000000,0.000000,0.715000,0.000000,0.000000,0.000000,-1.000000,0.051450,0.000000,0.002404,0.885496,0.000000,0.000000,0.200000,0.000000,1.000000,0.874570,0,0.00,candidate,1784501425,1784472300,,,
cand-2b55074f-4087,BTC,long,-0.654774,1.921884,0.834743,-0.003584,0.049903,0.076667,1.596777,0.001549,0.849599,0.000000,-0.032585,0.549707,0.059441,-0.333333,0.285673,0.000000,0.000000,1.000000,0.000000,0.000000,0.938354,0.096108,0.052000,0.046147,0.000000,0.280000,0.017796,0.000000,-0.704015,-0.710185,1.000000,1.424251,0.264962,0.771509,1.000000,0.825714,0.964376,0.000000,0.000000,0.057395,0.000000,1.000000,0.126969,-0.078702,0.025000,0.000000,0.000000,0.563000,0.000000,0.000000,0.000000,-1.000000,0.510706,0.000000,-0.243516,-0.236753,0.000000,0.000000,0.200000,0.000000,1.000000,0.874714,0,0.00,candidate,1784501712,1784472600,,,
cand-2b55074f-4088,ETH,long,-0.404874,0.829909,0.512497,0.220016,0.083027,0.103333,1.060995,0.005338,0.781747,0.000000,-0.051981,-0.791905,0.061912,-0.333333,0.377245,0.000000,0.000000,1.000000,0.000000,0.000000,0.917645,0.076395,0.052000,0.046147,0.000000,0.280000,0.017796,0.000000,-0.707107,-0.707107,1.000000,1.083118,0.202336,0.971852,1.000000,0.666667,0.908565,0.000000,0.000000,-0.007898,0.000000,1.000000,0.124790,-0.346832,0.029000,0.000000,0.000000,0.367000,0.000000,0.000000,0.000000,-1.000000,0.017135,0.000000,-0.107713,-0.438356,0.000000,0.000000,0.200000,0.000000,1.000000,0.748730,0,0.00,candidate,1784502022,1784472900,,,
cand-2b55074f-4089,BTC,long,-0.065140,1.654277,0.998398,0.003134,0.049933,0.076667,1.065279,0.001549,0.855837,0.000000,0.019760,-0.439145,0.059441,-0.333333,0.285673,0.000000,0.000000,1.000000,0.000000,0.000000,0.917645,0.076395,0.052000,0.046147,0.000000,0.280000,0.017796,0.000000,-0.707107,-0.707107,1.000000,0.009825,0.168782,0.847535,1.000000,0.820409,0.963291,0.000000,0.000000,0.056746,0.000000,1.000000,0.124790,-0.371488,0.014000,0.000000,0.000000,0.579000,0.000000,0.000000,0.000000,-1.000000,0.277325,0.000000,0.345306,-0.057143,0.000000,0.000000,0.200000,0.000000,1.000000,0.748730,0,0.00,candidate,1784502022,1784472900,,,
4dacb138-ead8-4b34-a6f2-9599aac1ba62,BTC,long,0.167231,-0.949369,-0.529920,-0.975926,0.054785,0.096667,0.483381,0.001555,0.888953,0.000000,0.213983,-0.013105,0.011855,-0.333333,0.281087,0.000000,0.000000,1.000000,0.000000,0.000000,0.783653,-0.068813,0.212000,0.026834,0.000000,0.280000,-0.009684,0.000000,-0.559193,0.829038,1.000000,-0.153078,-0.298412,1.428388,0.000000,0.399347,0.876296,0.990218,1.000000,-0.023271,-0.001170,1.000000,0.283102,-0.106733,0.021000,0.000000,0.000000,0.351000,0.011000,0.000000,0.000000,-1.000000,0.413031,0.000000,0.450846,0.099831,0.000000,0.000000,0.200000,0.000000,1.000000,0.869563,0,-0.07,live,1784502047,1784497458,,,
