ts,position_id,asset,direction,p_win,expected_pct,realized_pct,shortfall_pct,cause,cost_overrun_bps,mfe_pct,mae_pct,recovered_after_stop,regime_entry,regime_exit
1783965551,fc5f7f61-bb0a-4d50-bf68-9d9ea6a85c5d,BTC,long,0.620,0.259,-2.200,2.459,cost_overrun,36.1,0.000,-1.784,0,range,range
1783966792,953bfb61-ac95-4d48-9133-eb74d29e395d,ETH,long,0.620,0.249,-2.160,2.409,cost_overrun,35.1,0.021,-1.689,0,range,range
1783974640,642f68af-a95b-4613-a621-8d625b696fb5,BTC,long,0.620,0.264,-1.025,1.289,cost_overrun,37.1,0.000,-1.274,0,range,range
1783974640,bc0ba7a4-db1b-4d26-a767-678d07ac82a5,BTC,short,0.620,0.254,-0.914,1.168,cost_overrun,44.0,0.136,-0.651,0,range,range
1783974640,ed29089f-b7da-4a40-86ee-71458dada534,ETH,short,0.620,0.244,-1.390,1.634,cost_overrun,53.4,0.069,-1.367,0,range,range
1783974640,caa1d123-3968-4ea2-9345-6b3dc36b0dc1,ETH,short,0.620,0.243,-0.864,1.107,cost_overrun,35.4,0.035,-0.842,0,range,range
1783974640,e4514924-39c1-40f6-9fe2-a8be2b0a2ae8,BTC,short,0.620,0.252,-0.672,0.924,cost_overrun,53.0,0.099,-0.404,0,range,range
1783987477,31d43902-c036-412b-a758-5ef980edf8fc,ETH,long,0.620,0.244,-0.024,0.268,cost_overrun,50.6,0.533,-0.644,0,range,range
1783992317,0f82248d-10de-4687-94d9-1bafd0c474b4,ETH,short,0.620,0.243,-2.214,2.456,cost_overrun,52.2,0.464,-1.848,0,range,range
1784031812,0e83f65e-57d4-488e-84f6-5027371f58cd,BTC,long,0.620,0.267,-0.022,0.289,cost_overrun,37.7,0.370,-0.058,0,range,range
1784031910,4d46df06-a1f4-4d1c-9042-cc0680d10a6e,ETH,short,0.620,0.250,-2.016,2.266,cost_overrun,52.9,0.000,-1.663,0,range,range
1784031910,6540e30f-f90f-47cf-95b3-37af9b5a166c,BTC,long,0.620,0.262,-0.021,0.283,cost_overrun,37.3,0.357,-0.489,0,range,range
1784031915,25900be0-2787-4a96-a666-66f28ea091fe,ETH,long,0.620,0.257,-0.057,0.314,cost_overrun,52.1,0.439,-0.206,0,range,range
1784032221,2fd43275-c4ea-4fe4-9b34-2de849e35590,ETH,short,0.620,0.249,-2.575,2.824,cost_overrun,52.8,0.000,-1.675,0,range,range
