ts,equity,daily_pnl
1783670016,25000.00,0.00
1783670032,25000.00,0.00
1783670047,25000.00,0.00
1783670063,25000.00,0.00
1783670078,25000.00,0.00
1783670093,25000.00,0.00
1783670108,25000.00,0.00
1783670124,25000.00,0.00
1783670139,25000.00,0.00
1783670154,25000.00,0.00
1783670169,25000.00,0.00
1783670185,25000.00,0.00
1783670200,25000.00,0.00
1783670215,25000.00,0.00
1783670230,25000.00,0.00
1783670245,25000.00,0.00
1783670260,25000.00,0.00
1783670276,25000.00,0.00
1783670291,25000.00,0.00
1783670306,25000.00,0.00
1783670321,25000.00,0.00
1783670337,25000.00,0.00
1783670352,25000.00,0.00
1783670367,25000.00,0.00
1783670382,25000.00,0.00
1783670398,25000.00,0.00
1783670413,25000.00,0.00
1783670428,25000.00,0.00
1783670443,25000.00,0.00
1783670458,25000.00,0.00
1783670473,25000.00,0.00
1783670489,25000.00,0.00
1783670504,25000.00,0.00
1783670519,25000.00,0.00
1783670534,25000.00,0.00
1783670550,25000.00,0.00
1783670565,25000.00,0.00
1783670580,25000.00,0.00
1783670595,25000.00,0.00
1783670611,25000.00,0.00
1783670626,25000.00,0.00
1783670642,25000.00,0.00
1783670657,25000.00,0.00
1783670673,25000.00,0.00
1783670688,25000.00,0.00
1783670703,25000.00,0.00
1783670718,25000.00,0.00
1783670734,25000.00,0.00
1783670749,25000.00,0.00
1783670764,25000.00,0.00
1783670779,25000.00,0.00
1783670795,25000.00,0.00
1783670810,25000.00,0.00
1783670825,25000.00,0.00
1783670840,25000.00,0.00
1783670855,25000.00,0.00
1783670870,25000.00,0.00
1783670886,25000.00,0.00
1783670901,25000.00,0.00
1783670916,25000.00,0.00
1783670931,25000.00,0.00
1783670954,25000.00,0.00
1783670969,25000.00,0.00
1783670985,25000.00,0.00
1783671000,25000.00,0.00
1783671015,25000.00,0.00
1783671030,25000.00,0.00
1783671045,25000.00,0.00
1783671060,25000.00,0.00
1783671076,25000.00,0.00
1783671091,25000.00,0.00
1783671106,25000.00,0.00
1783671121,25000.00,0.00
1783671137,25000.00,0.00
1783671152,25000.00,0.00
1783671167,25000.00,0.00
1783671182,25000.00,0.00
1783671198,25000.00,0.00
1783671213,25000.00,0.00
1783671228,25000.00,0.00
1783671243,25000.00,0.00
1783671259,25000.00,0.00
1783671274,25000.00,0.00
1783671290,25000.00,0.00
1783671305,25000.00,0.00
1783671320,25000.00,0.00
1783671335,25000.00,0.00
1783671351,25000.00,0.00
1783671366,25000.00,0.00
1783671381,25000.00,0.00
1783671396,25000.00,0.00
1783671412,25000.00,0.00
1783671427,24999.99,0.00
1783671442,25000.02,0.00
1783671457,25000.04,0.00
1783671472,25000.56,0.00
1783671487,25000.35,0.00
1783671503,25000.14,0.00
1783671518,25000.11,0.00
1783671533,25000.11,0.00
1783671548,25000.04,0.00
1783671564,25000.05,0.00
1783671579,25000.06,0.00
1783671594,25000.04,0.00
1783671609,25000.09,0.00
1783671625,25000.09,0.00
1783671640,25000.20,0.00
1783671655,25000.03,0.00
1783671670,24999.83,0.00
1783671685,24999.96,0.00
1783671700,25000.03,0.00
1783671716,25000.17,0.00
1783671731,25000.15,0.00
1783671746,25000.39,0.00
1783671761,25000.41,0.00
1783671777,25000.39,0.00
1783671792,25000.14,0.00
1783671807,25000.18,0.00
1783671822,25000.13,0.00
1783671837,25000.19,0.00
1783671852,25000.36,0.00
1783671876,25000.29,0.00
1783671891,25000.38,0.00
1783671907,25000.31,0.00
1783671922,24999.90,0.00
1783671937,24999.89,0.00
1783671952,24999.78,0.00
1783671967,24999.87,0.00
1783671982,24999.97,0.00
1783671998,25000.04,0.00
1783672013,25000.05,0.00
1783672028,25000.05,0.00
1783672043,25000.09,0.00
1783672059,24999.99,0.00
1783672074,25000.04,0.00
1783672089,25000.12,0.00
1783672104,25000.09,0.00
1783672119,25000.13,0.00
1783672134,25000.23,0.00
1783672150,25000.33,0.00
1783672165,25000.36,0.00
1783672180,25000.40,0.00
1783672195,25000.45,0.00
1783672211,25000.44,0.00
1783672226,25000.46,0.00
1783672241,25000.41,0.00
1783672256,25000.23,0.00
1783672271,25000.16,0.00
1783672286,25000.16,0.00
1783672302,25000.34,0.00
1783672317,25000.49,0.00
1783672332,25000.58,0.00
1783672347,25000.49,0.00
1783672363,25000.48,0.00
1783672378,25000.51,0.00
1783672393,25000.30,0.00
1783672408,25000.28,0.00
1783672424,25000.28,0.00
1783672439,25000.33,0.00
1783672454,25000.21,0.00
1783672469,25000.21,0.00
1783672485,25000.42,0.00
1783672500,25000.66,0.00
1783672516,25000.72,0.00
1783672531,25000.74,0.00
1783672546,25000.55,0.00
1783672561,25000.49,0.00
1783672576,25000.05,0.00
1783672591,24999.97,0.00
1783672607,24999.90,0.00
1783672622,24999.86,0.00
1783672637,24999.86,0.00
1783672652,24999.82,0.00
1783672668,24999.60,0.00
1783672683,24999.60,0.00
1783672698,24999.67,0.00
1783672713,24999.61,0.00
1783672728,24999.71,0.00
1783672743,24999.71,0.00
1783672759,24999.72,0.00
1783672774,24999.76,0.00
1783672796,24999.72,0.00
1783672811,24999.70,0.00
1783672827,24999.61,0.00
1783672842,24999.60,0.00
1783672857,24999.61,0.00
1783672872,24999.62,0.00
1783672887,24999.65,0.00
1783672902,24999.65,0.00
1783672918,24999.65,0.00
1783672933,24999.65,0.00
1783672948,24999.65,0.00
1783672963,24999.65,0.00
1783672979,24999.65,0.00
1783672994,24999.65,0.00
1783673009,24999.65,0.00
1783673024,24999.65,0.00
1783673039,24999.68,0.00
1783673054,24999.68,0.00
1783673070,24999.68,0.00
1783673085,24999.68,0.00
1783673101,24999.68,0.00
1783673116,24999.68,0.00
1783673132,24999.68,0.00
1783673147,24999.68,0.00
1783673162,24999.68,0.00
1783673177,24999.47,0.00
1783673193,24999.44,0.00
1783673208,24999.53,0.00
1783673223,24999.45,0.00
1783673238,24999.42,0.00
1783673253,24999.42,0.00
1783673268,24999.41,0.00
1783673284,24999.40,0.00
1783673299,24999.72,0.00
1783673314,24999.85,0.00
1783673329,24999.85,0.00
1783673345,25000.04,0.00
1783673360,25000.32,0.00
1783673375,25000.26,0.00
1783673390,25000.09,0.00
1783673405,25000.01,0.00
1783673420,24999.69,0.00
1783673436,24999.69,0.00
1783673451,24999.94,0.00
1783673466,24999.96,0.00
1783673481,24999.96,0.00
1783673497,24999.90,0.00
1783673512,24999.86,0.00
1783673527,24999.68,0.00
1783673542,24999.46,0.00
1783673557,24999.51,0.00
1783673572,24999.28,0.00
1783673588,24999.22,0.00
1783673603,24999.18,0.00
1783673618,24999.22,0.00
1783673634,24999.29,0.00
1783673649,24999.39,0.00
1783673664,24999.57,0.00
1783673679,24999.57,0.00
1783673694,24999.58,0.00
1783673718,24999.63,0.00
