position_id,asset,side,ret_1_dir,ret_6_dir,ret_12_dir,ret_48_dir,sigma_bar_pct,vol_percentile,imbalance_dir,spread_bps,depth_log,fv_edge_bps,basis_dir,volume_z,funding_dir,mom_dir,drawdown_pct,regime_bull_quiet,regime_bull_vol,regime_range,regime_bear,regime_crisis,corr_fast,corr_shift,turbulence_pct,sent_dir,sent_fear,fear_greed,dominance_delta,equity_risk_z,hour_sin,hour_cos,weekend,imbalance_delta_dir,other_ret_6_dir,depth_ratio,mtf_align,pd_zone,liq_pocket_pull,fvg_pull,fvg_liq_confluence,poc_dist,va_pos,regime_age,funding_dist,venue_disloc_dir,th_grid,th_metronome,th_clockwork,th_stopzone,th_barclose,opt_pcr_z,opt_oi_pcr_z,opt_iv_skew,manip_suspect,pat_engulf_dir,pat_hammer_dir,pat_marubozu_dir,vol_term,mkt_ret_6_dir,book_touch_share,flow_tox,ofi_dir,basis_mom_dir,direction,gate_confidence,label,net_pnl_usd,source,ts,signal_ts,barrier,probe,disp,candidate_id,book,label_era,pt_frac,sl_frac,sg_flow,sg_delta,sg_accum,sg_burst,sg_trend,sg_evidence,sg_conc,entry_price,exit_price
cand-4dc5b085-62188,BTC,short,0.996986,-0.198025,0.637388,-0.082800,0.074159,0.233333,0.468034,0.001564,0.827983,-0.028037,-0.044140,-0.870961,-0.100000,0.333333,0.216306,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.068000,-0.007119,0.000000,0.300000,0.000000,-0.440621,-0.386711,0.922201,0.000000,-0.000000,-0.052466,0.996974,0.000000,0.524889,0.895024,0.957598,1.000000,-0.027828,0.000000,0.001892,0.188343,0.392562,0.009000,0.000000,0.000000,0.188000,0.000000,-0.195219,-0.102240,-0.330470,0.205027,1.000000,-0.002881,0.946322,-0.622746,0.630617,0.521955,0.441753,0.544987,0.052894,-1.000000,0.749421,0,0.00,candidate,1786568178,1786400400,tb_time,,SZ-060: x1.10 (book u_long=0.00 u_short=0.00),,5m,triple_barrier_h432,0.020006,0.015005,-0.8488,-0.3970,-0.0256,0.0000,-0.1456,-1.2120,0.4207,63989.5,64066.5
cand-4dc5b085-62202,SOL,short,2.151621,0.810881,-0.622188,0.692058,0.079746,0.044444,0.174370,0.132127,0.953023,0.000000,0.058594,1.745363,-0.000000,0.333333,0.221058,0.000000,0.000000,0.000000,1.000000,0.000000,-0.128587,-0.571967,0.620000,-0.004576,0.000000,0.290000,0.005283,-0.440621,0.656059,-0.754710,0.000000,0.527754,0.079833,0.995030,-1.000000,0.514706,0.845883,0.898723,1.000000,-0.054767,-0.001761,0.217992,0.839681,-0.000000,0.586000,0.000000,0.000000,0.000000,0.030000,-0.195219,-0.102240,-0.363798,0.000000,-0.000000,0.020408,0.857143,0.007221,-0.518091,0.091502,0.749044,-0.000000,0.262496,-1.000000,1.000000,0,0.00,candidate,1786568178,1786439400,tb_sl,,SZ-060: x1.10 (book u_long=0.00 u_short=0.00),,5m,triple_barrier_h432,0.020529,0.015396,-0.3712,-0.7132,-0.1083,-0.9966,0.1102,-1.6167,0.1374,75.7,76.98
cand-4dc5b085-62275,SOL,long,0.977776,0.285088,0.080619,0.545071,0.093614,0.079167,0.419034,0.130830,0.944633,0.124418,0.456651,-0.362397,0.000000,-0.333333,0.215203,0.000000,0.000000,0.000000,1.000000,0.000000,0.251650,-0.142528,0.940000,0.010701,0.000000,0.270000,-0.023107,0.834635,0.691513,0.722364,0.000000,-0.222535,0.225398,0.927408,1.000000,0.948718,0.991287,0.000000,0.000000,0.183908,0.000000,0.953262,0.633870,0.000000,0.543000,0.000000,0.000000,0.302000,0.016000,-1.383222,0.654654,-0.090120,0.000000,0.000000,-0.015625,0.875000,-0.306232,-0.241504,0.104183,0.385970,0.000000,0.584640,1.000000,0.749215,0,0.00,candidate,1786568178,1786502700,tb_sl,,capped,,5m,triple_barrier_h432,0.020523,0.015392,0.7330,0.6545,-0.0372,0.0000,0.1616,1.2053,0.2947,76.51,75.58
cand-4dc5b085-62283,SUI,long,-0.410211,-0.948028,-1.339075,0.415182,0.105554,0.058333,0.655877,0.144290,0.843472,0.000000,-0.270167,-0.397430,0.000000,-1.000000,0.478251,0.000000,0.000000,0.000000,1.000000,0.000000,0.295408,0.144764,0.940000,0.011318,0.000000,0.270000,0.007815,0.834635,0.798636,0.601815,0.000000,0.512704,-0.113297,0.921083,-1.000000,0.312500,0.682402,0.987970,0.000000,0.417028,0.072443,0.978812,0.557221,0.000000,0.286000,0.000000,0.000000,0.835000,0.030000,-1.383222,0.654654,-0.092604,0.185470,0.000000,1.000000,0.000000,-0.761961,-1.123104,0.014492,0.473038,0.000000,0.234048,1.000000,0.825026,0,0.00,candidate,1786568178,1786505100,tb_sl,,capped,,5m,triple_barrier_h432,0.020577,0.015433,0.8468,0.9436,0.6028,0.0000,-0.1626,1.8417,0.1426,0.6927,0.6824
cand-4dc5b085-62327,ETH,short,0.205295,1.404451,1.406986,-0.070052,0.056868,0.043333,0.333658,0.010610,0.789539,0.000000,0.019748,-0.459426,-0.062396,0.333333,0.226177,0.000000,0.000000,0.000000,1.000000,0.000000,0.177596,-0.058477,0.940000,-0.016443,0.000000,0.270000,-0.013304,0.834635,0.984808,-0.173648,0.000000,1.448820,-0.133843,1.292860,1.000000,0.325147,0.941446,0.969750,1.000000,0.244119,0.047153,1.000000,0.164606,0.273133,0.049000,0.000000,0.000000,0.000000,0.000000,-1.383222,0.654654,-0.100347,0.144237,-0.000000,-0.146250,0.550000,-0.278449,1.994371,0.341711,0.566536,-0.406707,-0.014700,-1.000000,0.749177,0,0.00,candidate,1786568178,1786516200,tb_sl,,capped,,5m,triple_barrier_h432,0.020042,0.015032,-0.6851,-0.8848,0.0883,0.0000,-0.1237,-1.2231,0.2506,1884.31,1911.38
cand-7abff6b4-56844,BTC,short,1.102258,-1.782323,-1.696356,-2.243666,0.068535,0.180000,0.739346,0.001533,0.836349,0.000000,-0.252734,-0.042028,-0.013191,-0.333333,0.202959,1.000000,0.000000,0.000000,0.000000,0.000000,-0.253993,-0.057938,0.916000,-0.001504,0.000000,0.290000,0.023640,0.000000,-0.258819,-0.965926,0.000000,1.094523,-1.340701,0.824683,-1.000000,0.889346,0.646822,0.971335,1.000000,0.135647,0.000000,0.027398,0.372989,0.071757,0.011000,0.000000,0.000000,0.424000,0.020000,0.000000,0.000000,-2.185964,0.220516,-0.000000,0.044327,0.433216,0.372265,-0.720293,0.811099,0.527942,2.095667,-0.794220,-1.000000,0.874435,0,0.00,candidate,1786237290,1786107300,tb_time,,SZ-022: regime bull_quiet blocks short,,5m,triple_barrier,0.020006,0.015005,-0.9396,-0.8442,-0.0462,-0.4410,0.3011,-1.6297,0.1392,65236.2,64925.7
cand-2ccb4649-46633,ADA,short,-0.703415,1.080764,0.426742,1.085035,0.160911,0.301389,0.625663,0.297830,0.666003,0.000000,0.034931,-0.152946,-0.000000,0.333333,0.435358,0.000000,0.000000,1.000000,0.000000,0.000000,-0.022731,-0.018751,0.012000,-0.004352,0.000000,0.250000,-0.004468,0.000000,0.942641,-0.333807,0.000000,1.167767,0.548762,1.255297,0.000000,0.153329,0.900372,0.000000,0.000000,-0.341670,-0.150372,0.314039,0.087348,-0.000000,0.002000,0.000000,0.000000,0.000000,0.005000,0.000000,0.000000,0.000000,0.003424,-0.000000,-0.080429,0.709220,0.068229,0.983215,0.151404,0.612883,-0.000000,0.948455,-1.000000,1.000000,0,0.00,candidate,1785485720,1785481800,tb_sl,,SZ-023: p 0.56 below bar 0.69 (net break,,5m,triple_barrier,0.021191,0.015893,-0.8663,-0.9769,0.4259,-0.2556,-0.1615,-1.3867,0.0993,0,0
cand-2fe9334f-40489,ADA,long,1.140643,1.478171,0.834784,0.649706,0.101416,0.073611,0.483852,0.418843,0.660674,0.000000,-0.077435,-0.571185,0.000000,-1.000000,0.509194,0.000000,0.000000,1.000000,0.000000,0.000000,-0.021405,0.114042,0.228000,-0.002153,0.000000,0.290000,-0.001675,0.000000,-0.126199,-0.992005,0.000000,1.076397,0.060254,1.224693,0.000000,0.688259,0.885869,0.948969,1.000000,0.109681,0.003500,0.401851,0.438667,0.000000,0.019000,0.000000,0.000000,0.712000,0.007000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.173405,0.526066,0.157792,0.685803,0.000000,0.000000,1.000000,0.877594,1,0.00,candidate,1785279145,1785241200,tb_time,,SZ-023: p 0.28 below bar 0.63 (net break,,5m,triple_barrier,0.021675,0.016257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0
cand-2fe9334f-40490,ADA,long,0.750885,0.988891,0.875234,0.506791,0.102308,0.076389,0.526047,0.247347,0.662985,0.000000,-0.223311,-0.249396,0.000000,-1.000000,0.509194,0.000000,0.000000,1.000000,0.000000,0.000000,-0.057323,0.074995,0.228000,-0.002126,0.000000,0.290000,-0.022555,0.000000,-0.182236,-0.983255,0.000000,0.354306,0.210473,1.312338,0.000000,0.772701,0.916861,0.000000,0.000000,0.128111,0.000000,0.410658,0.412247,0.000000,0.041000,0.000000,0.000000,0.577000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.164953,-0.533123,-0.320512,0.201574,0.052164,0.633463,0.000000,0.000000,1.000000,1.000000,1,0.00,candidate,1785279145,1785242100,tb_time,,SZ-023: p 0.28 below bar 0.63 (net break,,5m,triple_barrier,0.020989,0.015742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0
cand-2fe9334f-40504,ADA,short,0.355764,-3.172427,-2.232610,-0.740153,0.156211,0.288889,1.087820,0.599765,0.663719,0.000000,-0.028556,1.209558,-0.000000,1.000000,0.508448,0.000000,0.000000,0.000000,1.000000,0.000000,-0.011514,-0.041377,0.416000,0.014409,0.000000,0.290000,0.005360,0.000000,-0.831470,-0.555570,0.000000,0.470178,-1.242761,0.960430,0.000000,0.801034,0.347239,0.938725,1.000000,0.219825,0.053866,0.049547,0.029341,-0.000000,0.006000,0.000000,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,0.128820,-0.000000,0.971805,0.005148,0.679600,-2.544285,0.181500,0.570531,0.000000,0.000000,-1.000000,0.874470,0,0.00,candidate,1785279145,1785253200,tb_sl,,SZ-023: p 0.28 below bar 0.63 (net break,,5m,triple_barrier,0.022399,0.016799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0
